,model,feature,sample,acc,prop
10,RFC,loan_amnt,20003,83.1,45.85
0,GBC,loan_amnt,20003,96.45,52.400000000000006
1,GBC,loan_amnt,20003,96.55,52.400000000000006
2,GBC,loan_amnt,20003,96.75,52.0
3,GBC,loan_amnt,20003,96.75,51.800000000000004
4,GBC,loan_amnt,20003,96.75,51.9
5,GBC,loan_amnt,20003,96.8,51.949999999999996
6,GBC,loan_amnt,20003,96.95,52.0
7,GBC,loan_amnt,20003,96.95,52.0
8,GBC,loan_amnt,20003,97.05,52.1
9,GBC,loan_amnt,20003,97.0,52.15
10,GBC,loan_amnt,20003,97.0,52.15
0,LR,loan_amnt,20003,96.3,52.15
1,LR,loan_amnt,20003,96.25,52.2
2,LR,loan_amnt,20003,96.25,52.2
3,LR,loan_amnt,20003,96.35000000000001,52.300000000000004
4,LR,loan_amnt,20003,96.35000000000001,52.300000000000004
5,LR,loan_amnt,20003,96.35000000000001,52.300000000000004
6,LR,loan_amnt,20003,96.35000000000001,52.300000000000004
7,LR,loan_amnt,20003,96.45,52.400000000000006
8,LR,loan_amnt,20003,96.39999999999999,52.449999999999996
9,LR,loan_amnt,20003,96.39999999999999,52.449999999999996
10,LR,loan_amnt,20003,96.39999999999999,52.449999999999996
0,RFC,loan_amnt,20004,84.05,48.75
1,RFC,loan_amnt,20004,84.35000000000001,47.949999999999996
2,RFC,loan_amnt,20004,84.05,47.449999999999996
3,RFC,loan_amnt,20004,84.2,46.7
4,RFC,loan_amnt,20004,84.2,46.5
5,RFC,loan_amnt,20004,84.45,45.75
6,RFC,loan_amnt,20004,85.05,45.25
7,RFC,loan_amnt,20004,85.1,44.9
8,RFC,loan_amnt,20004,85.2,44.7
9,RFC,loan_amnt,20004,84.8,44.2
10,RFC,loan_amnt,20004,84.8,44.1
0,GBC,loan_amnt,20004,95.8,51.2
1,GBC,loan_amnt,20004,96.1,51.5
2,GBC,loan_amnt,20004,96.3,51.9
3,GBC,loan_amnt,20004,96.35000000000001,51.949999999999996
4,GBC,loan_amnt,20004,96.39999999999999,52.1
5,GBC,loan_amnt,20004,96.45,52.15
6,GBC,loan_amnt,20004,96.45,52.15
7,GBC,loan_amnt,20004,96.45,52.15
8,GBC,loan_amnt,20004,96.5,52.1
9,GBC,loan_amnt,20004,96.55,52.15
10,GBC,loan_amnt,20004,96.45,52.15
0,LR,loan_amnt,20004,96.39999999999999,52.300000000000004
1,LR,loan_amnt,20004,96.39999999999999,52.300000000000004
