,model,size,features,abs_shap
22,GBC,5000,Loan_SubGrade:C4,3.4754347220949313
23,GBC,5000,Loan_SubGrade:C5,1.526617156873023
24,GBC,5000,Loan_SubGrade:D1,3.3514839014587503
25,GBC,5000,Loan_SubGrade:D2,8.995032944647665
26,GBC,5000,Loan_SubGrade:D3,6.706252102593471
27,GBC,5000,Loan_SubGrade:D4,7.986777966451475
28,GBC,5000,Loan_SubGrade:D5,9.7443915755681
29,GBC,5000,Loan_SubGrade:E1,2.2571347106515045
30,GBC,5000,Loan_SubGrade:E2,0.48133091514090687
31,GBC,5000,Loan_SubGrade:E3,1.5754382715950337
32,GBC,5000,Loan_SubGrade:E4,0.9289318887064292
33,GBC,5000,Loan_SubGrade:E5,3.575458218388731
34,GBC,5000,Loan_SubGrade:F1,0.3749280191601867
35,GBC,5000,Loan_SubGrade:F2,0.0
36,GBC,5000,Loan_SubGrade:F3,0.0
37,GBC,5000,Loan_SubGrade:F4,0.0
38,GBC,5000,Loan_SubGrade:F5,0.0
39,GBC,5000,Loan_SubGrade:G1,0.06036833700203978
40,GBC,5000,Loan_SubGrade:G2,0.0
41,GBC,5000,Loan_SubGrade:G3,0.0
42,GBC,5000,Loan_SubGrade:G4,0.03420068257859182
43,GBC,5000,Loan_SubGrade:1 year,1.1586713163901035
44,GBC,5000,Employment_Length:10+ years,2.015155438317285
45,GBC,5000,Employment_Length:2 years,0.9324778245729308
46,GBC,5000,Employment_Length:3 years,0.47921436702158765
47,GBC,5000,Employment_Length:4 years,0.29933224673308
48,GBC,5000,Employment_Length:5 years,0.5718437350475661
49,GBC,5000,Employment_Length:6 years,0.13696166433926887
50,GBC,5000,Employment_Length:7 years,0.296231728674481
51,GBC,5000,Employment_Length:8 years,1.1618510296231417
52,GBC,5000,Employment_Length:9 years,0.5388540379405357
53,GBC,5000,Employment_Length:< 1 year,3.513631697904045
54,GBC,5000,Employment_Length:unknown,8.367187065972102
55,GBC,5000,Employment_Length:ANY,0.17732738883298169
56,GBC,5000,Home_Ownership:MORTGAGE,20.491764044110212
57,GBC,5000,Home_Ownership:OWN,0.35967407584003414
58,GBC,5000,Home_Ownership:RENT,3.147682272302478
59,GBC,5000,loan_amnt,32.80761155402375
60,GBC,5000,int_rate,295.5674864698407
61,GBC,5000,installment,49.58993447440401
62,GBC,5000,annual_inc,40.34743085720748
63,GBC,5000,inq_last_6mths,8.054179895878738
64,GBC,5000,delinq_2yrs,2.1509058629920785
65,GBC,5000,mths_since_last_delinq,6.234688072294088
66,GBC,5000,open_acc,17.128169766709796
67,GBC,5000,total_acc,32.786667371130605
68,GBC,5000,mths_since_last_major_derog,7.832799571996878
69,GBC,5000,dti,27.074425732504977
70,GBC,5000,revol_bal,27.508361786201206
71,GBC,5000,tot_cur_bal,28.341879445532143
72,GBC,5000,open_il_24m,12.88292095703867
73,GBC,5000,chargeoff_within_12_mths,0.1689093531422532
74,GBC,5000,delinq_amnt,0.0
0,LR,5000,Term: 36 months,146.35395253691675
1,LR,5000,Term: 60 months,157.36602828302182
2,LR,5000,Loan_Grade:A,88.69618879898525
3,LR,5000,Loan_Grade:B,109.25265506850035
4,LR,5000,Loan_Grade:C,0.21495904597265772
5,LR,5000,Loan_Grade:D,104.98487109711519
