,feature,Feature_Importance,sample_size,model
34,Loan_SubGrade:F1,0.0003,5000,gbc
35,Loan_SubGrade:F2,0.0001,5000,gbc
36,Loan_SubGrade:F3,0.0,5000,gbc
37,Loan_SubGrade:F4,0.0,5000,gbc
38,Loan_SubGrade:F5,0.0,5000,gbc
39,Loan_SubGrade:G1,0.0001,5000,gbc
40,Loan_SubGrade:G2,0.0006,5000,gbc
41,Loan_SubGrade:G3,0.0,5000,gbc
42,Loan_SubGrade:G4,0.0,5000,gbc
43,Loan_SubGrade:1 year,0.0017,5000,gbc
44,Employment_Length:10+ years,0.001,5000,gbc
45,Employment_Length:2 years,0.0007,5000,gbc
46,Employment_Length:3 years,0.0003,5000,gbc
47,Employment_Length:4 years,0.0009,5000,gbc
48,Employment_Length:5 years,0.0023,5000,gbc
49,Employment_Length:6 years,0.001,5000,gbc
50,Employment_Length:7 years,0.0014,5000,gbc
51,Employment_Length:8 years,0.0014,5000,gbc
52,Employment_Length:9 years,0.0007,5000,gbc
53,Employment_Length:< 1 year,0.0023,5000,gbc
54,Employment_Length:unknown,0.0053,5000,gbc
55,Employment_Length:ANY,0.0004,5000,gbc
56,Home_Ownership:MORTGAGE,0.0188,5000,gbc
57,Home_Ownership:OWN,0.0008,5000,gbc
58,Home_Ownership:RENT,0.0013,5000,gbc
59,loan_amnt,0.0227,5000,gbc
60,int_rate,0.5143,5000,gbc
61,installment,0.0518,5000,gbc
62,annual_inc,0.0222,5000,gbc
63,inq_last_6mths,0.0048,5000,gbc
64,delinq_2yrs,0.0041,5000,gbc
65,mths_since_last_delinq,0.0085,5000,gbc
66,open_acc,0.011,5000,gbc
67,total_acc,0.0278,5000,gbc
68,mths_since_last_major_derog,0.0075,5000,gbc
69,dti,0.0357,5000,gbc
70,revol_bal,0.0254,5000,gbc
71,tot_cur_bal,0.0357,5000,gbc
72,open_il_24m,0.0143,5000,gbc
73,chargeoff_within_12_mths,0.0007,5000,gbc
74,delinq_amnt,0.0,5000,gbc
0,Term: 36 months,-22.6362,5000,logit
1,Term: 60 months,-22.6537,5000,logit
2,Loan_Grade:A,30.684,5000,logit
3,Loan_Grade:B,14.7088,5000,logit
4,Loan_Grade:C,0.0,5000,logit
5,Loan_Grade:D,-19.0629,5000,logit
6,Loan_Grade:E,-40.4662,5000,logit
7,Loan_Grade:F,-65.2537,5000,logit
8,Loan_Grade:G,-68.1889,5000,logit
9,Loan_SubGrade:A1,7.8767,5000,logit
10,Loan_SubGrade:A2,5.1878,5000,logit
11,Loan_SubGrade:A3,2.8957,5000,logit
12,Loan_SubGrade:A4,0.0,5000,logit
13,Loan_SubGrade:A5,-2.9169,5000,logit
14,Loan_SubGrade:B1,6.063,5000,logit
15,Loan_SubGrade:B2,4.3428,5000,logit
16,Loan_SubGrade:B3,2.114,5000,logit
17,Loan_SubGrade:B4,0.0,5000,logit
18,Loan_SubGrade:B5,-5.0442,5000,logit
19,Loan_SubGrade:C1,6.591,5000,logit
20,Loan_SubGrade:C2,2.333,5000,logit
21,Loan_SubGrade:C3,0.0,5000,logit
22,Loan_SubGrade:C4,-4.5819,5000,logit
23,Loan_SubGrade:C5,-8.2851,5000,logit
24,Loan_SubGrade:D1,5.9694,5000,logit
25,Loan_SubGrade:D2,1.9672,5000,logit
26,Loan_SubGrade:D3,-2.0285,5000,logit
27,Loan_SubGrade:D4,-6.0482,5000,logit
28,Loan_SubGrade:D5,-12.6702,5000,logit
29,Loan_SubGrade:E1,4.9591,5000,logit
30,Loan_SubGrade:E2,0.445,5000,logit
31,Loan_SubGrade:E3,-4.2697,5000,logit
32,Loan_SubGrade:E4,-7.616,5000,logit
33,Loan_SubGrade:E5,-12.003,5000,logit
34,Loan_SubGrade:F1,3.5744,5000,logit
35,Loan_SubGrade:F2,0.0,5000,logit
36,Loan_SubGrade:F3,-1.3631,5000,logit
37,Loan_SubGrade:F4,-2.877,5000,logit
38,Loan_SubGrade:F5,-3.7201,5000,logit
39,Loan_SubGrade:G1,-2.2568,5000,logit
40,Loan_SubGrade:G2,0.0,5000,logit
41,Loan_SubGrade:G3,0.0,5000,logit
42,Loan_SubGrade:G4,0.0,5000,logit
