,model,feature,sample,acc,prop
9,RFC,loan_amnt,40000,96.85000000000001,49.3
10,RFC,loan_amnt,40000,96.5,49.45
0,GBC,loan_amnt,40000,91.5,52.55
1,GBC,loan_amnt,40000,91.5,53.05
2,GBC,loan_amnt,40000,91.75,53.2
3,GBC,loan_amnt,40000,91.55,53.400000000000006
4,GBC,loan_amnt,40000,91.7,53.15
5,GBC,loan_amnt,40000,91.7,53.05
6,GBC,loan_amnt,40000,91.7,53.349999999999994
7,GBC,loan_amnt,40000,91.64999999999999,52.900000000000006
8,GBC,loan_amnt,40000,91.45,52.400000000000006
9,GBC,loan_amnt,40000,91.35,51.800000000000004
10,GBC,loan_amnt,40000,91.55,52.1
0,LR,loan_amnt,40000,85.39999999999999,44.85
1,LR,loan_amnt,40000,85.39999999999999,45.25
2,LR,loan_amnt,40000,85.75,45.7
3,LR,loan_amnt,40000,86.1,46.35
4,LR,loan_amnt,40000,86.15,47.0
5,LR,loan_amnt,40000,86.3,47.65
6,LR,loan_amnt,40000,86.1,48.55
7,LR,loan_amnt,40000,86.3,49.25
8,LR,loan_amnt,40000,85.9,49.95
9,LR,loan_amnt,40000,85.95,50.7
10,LR,loan_amnt,40000,85.95,51.5
0,RFC,loan_amnt,80000,95.5,51.300000000000004
1,RFC,loan_amnt,80000,95.7,51.0
2,RFC,loan_amnt,80000,95.55,50.74999999999999
3,RFC,loan_amnt,80000,96.0,50.6
4,RFC,loan_amnt,80000,95.95,50.349999999999994
5,RFC,loan_amnt,80000,95.8,50.3
6,RFC,loan_amnt,80000,95.75,50.449999999999996
7,RFC,loan_amnt,80000,95.7,50.5
8,RFC,loan_amnt,80000,95.39999999999999,50.6
9,RFC,loan_amnt,80000,95.35,50.449999999999996
10,RFC,loan_amnt,80000,95.3,50.6
0,GBC,loan_amnt,80000,90.75,58.95
1,GBC,loan_amnt,80000,90.9,59.099999999999994
2,GBC,loan_amnt,80000,91.10000000000001,59.199999999999996
3,GBC,loan_amnt,80000,91.05,59.150000000000006
4,GBC,loan_amnt,80000,91.05,59.25
5,GBC,loan_amnt,80000,91.3,59.099999999999994
6,GBC,loan_amnt,80000,91.25,59.150000000000006
7,GBC,loan_amnt,80000,91.25,58.85
8,GBC,loan_amnt,80000,91.3,58.8
9,GBC,loan_amnt,80000,91.2,58.5
10,GBC,loan_amnt,80000,90.95,57.95
0,LR,loan_amnt,80000,76.7,45.1
1,LR,loan_amnt,80000,77.25,46.650000000000006
2,LR,loan_amnt,80000,78.25,48.65
3,LR,loan_amnt,80000,78.64999999999999,50.14999999999999
4,LR,loan_amnt,80000,79.80000000000001,52.0
5,LR,loan_amnt,80000,80.65,53.55
6,LR,loan_amnt,80000,80.65,55.05
7,LR,loan_amnt,80000,80.65,56.55
8,LR,loan_amnt,80000,80.95,57.85
9,LR,loan_amnt,80000,80.45,59.550000000000004
10,LR,loan_amnt,80000,80.65,60.75000000000001
0,RFC,int_rate,5000,83.7,37.35
1,RFC,int_rate,5000,87.55,40.9
2,RFC,int_rate,5000,88.44999999999999,42.0
3,RFC,int_rate,5000,90.05,43.9
4,RFC,int_rate,5000,91.85,46.6
5,RFC,int_rate,5000,94.39999999999999,49.15
6,RFC,int_rate,5000,93.0,50.24999999999999
7,RFC,int_rate,5000,91.5,50.74999999999999
8,RFC,int_rate,5000,91.55,50.6
9,RFC,int_rate,5000,90.85,50.1
10,RFC,int_rate,5000,90.85,49.8
0,GBC,int_rate,5000,50.849999999999994,3.9
1,GBC,int_rate,5000,53.400000000000006,7.95
2,GBC,int_rate,5000,52.75,10.2
